Network layer on host 1 initialised
1538215854.99: Sent packet 199 of size 202
1538215855.00: Sent packet 200 of size 235
1538215855.00: Sent packet 201 of size 147
1538215855.28: Sent packet 202 of size 210
1538215855.49: Sent packet 203 of size 229
1538215855.64: Sent packet 204 of size 174
1538215855.75: Sent packet 205 of size 28
1538215855.76: Sent packet 206 of size 178
1538215855.77: Sent packet 207 of size 185
1538215855.97: Sent packet 208 of size 114
1538215856.09: Sent packet 209 of size 98
1538215856.29: Sent packet 210 of size 97
1538215856.32: Sent packet 211 of size 111
1538215857.06: Sent packet 212 of size 158
1538215857.27: Sent packet 213 of size 233
1538215857.27: Sent packet 214 of size 216
1538215857.27: Sent packet 215 of size 151
1538215857.53: Sent packet 216 of size 26
1538215857.67: Sent packet 217 of size 238
1538215857.73: Sent packet 218 of size 146
1538215857.79: Sent packet 219 of size 16
1538215857.79: Sent packet 220 of size 41
1538215857.87: Sent packet 221 of size 213
1538215857.90: Sent packet 222 of size 96
1538215857.90: Sent packet 223 of size 185
1538215857.90: Sent packet 224 of size 126
1538215857.90: Sent packet 225 of size 174
1538215858.07: Sent packet 226 of size 206
1538215858.68: Sent packet 227 of size 73
1538215858.82: Sent packet 228 of size 86
1538215858.88: Sent packet 229 of size 183
1538215858.93: Sent packet 230 of size 69
1538215859.05: Sent packet 231 of size 225
1538215859.21: Sent packet 232 of size 84
1538215859.27: Sent packet 233 of size 33
1538215859.27: Sent packet 234 of size 58
1538215859.27: Sent packet 235 of size 146
1538215859.49: Sent packet 236 of size 62
1538215859.49: Sent packet 237 of size 34
1538215859.57: Sent packet 238 of size 202
1538215859.66: Sent packet 239 of size 132
1538215859.72: Sent packet 240 of size 230
1538215859.79: Sent packet 241 of size 208
1538215859.96: Sent packet 242 of size 17
1538215860.03: Sent packet 243 of size 108
1538215860.06: Sent packet 244 of size 169
1538215860.39: Sent packet 245 of size 134
1538215860.45: Sent packet 246 of size 43
1538215860.49: Sent packet 247 of size 100
1538215860.50: Sent packet 248 of size 219
1538215860.55: Sent packet 249 of size 108
1538215860.87: Sent packet 250 of size 164
1538215861.32: Sent packet 251 of size 128
1538215861.70: Sent packet 252 of size 195
1538215861.71: Sent packet 253 of size 165
1538215861.79: Sent packet 254 of size 208
1538215861.79: Sent packet 255 of size 20
1538215862.00: Sent packet 256 of size 193
1538215862.25: Sent packet 257 of size 29
1538215862.59: Sent packet 258 of size 231
1538215862.59: Sent packet 259 of size 105
1538215862.59: Sent packet 260 of size 165
1538215862.59: Sent packet 261 of size 239
1538215862.59: Sent packet 262 of size 29
1538215862.59: Sent packet 263 of size 141
1538215863.07: Sent packet 264 of size 74
1538215863.12: Sent packet 265 of size 15
1538215863.26: Sent packet 266 of size 18
1538215863.40: Sent packet 267 of size 155
1538215863.54: Sent packet 268 of size 120
1538215863.55: Sent packet 269 of size 162
1538215863.61: Sent packet 270 of size 60
1538215863.71: Sent packet 271 of size 196
1538215864.00: Sent packet 272 of size 227
1538215864.19: Sent packet 273 of size 42
1538215864.53: Sent packet 274 of size 71
1538215864.53: Sent packet 275 of size 52
1538215864.53: Sent packet 276 of size 164
1538215864.53: Sent packet 277 of size 161
1538215864.73: Sent packet 278 of size 168
1538215864.82: Sent packet 279 of size 194
1538215865.07: Sent packet 280 of size 152
1538215865.10: Sent packet 281 of size 209
1538215865.23: Sent packet 282 of size 31
1538215865.25: Sent packet 283 of size 192
1538215865.50: Sent packet 284 of size 129
