Network layer on host 1 initialised
1538215835.51: Sent packet 0 of size 0
1538215835.59: Sent packet 1 of size 192
1538215835.64: Sent packet 2 of size 57
1538215835.71: Sent packet 3 of size 77
1538215835.74: Sent packet 4 of size 144
1538215835.81: Sent packet 5 of size 138
1538215835.83: Sent packet 6 of size 33
1538215837.03: Sent packet 7 of size 128
1538215837.08: Sent packet 8 of size 28
1538215837.20: Sent packet 9 of size 215
1538215837.47: Sent packet 10 of size 17
1538215837.62: Sent packet 11 of size 104
1538215837.79: Sent packet 12 of size 49
1538215838.44: Sent packet 13 of size 230
1538215838.45: Sent packet 14 of size 224
1538215838.45: Sent packet 15 of size 240
1538215838.68: Sent packet 16 of size 112
1538215838.76: Sent packet 17 of size 74
1538215838.99: Sent packet 18 of size 186
1538215839.01: Sent packet 19 of size 157
1538215839.03: Sent packet 20 of size 232
1538215839.20: Sent packet 21 of size 233
1538215839.55: Sent packet 22 of size 157
1538215839.81: Sent packet 23 of size 25
1538215839.90: Sent packet 24 of size 187
1538215840.20: Sent packet 25 of size 27
1538215840.29: Sent packet 26 of size 20
1538215840.33: Sent packet 27 of size 87
1538215840.51: Sent packet 28 of size 17
1538215840.91: Sent packet 29 of size 70
1538215840.91: Sent packet 30 of size 52
1538215840.91: Sent packet 31 of size 136
1538215840.91: Sent packet 32 of size 71
1538215841.07: Sent packet 33 of size 30
1538215841.14: Sent packet 34 of size 127
1538215841.24: Sent packet 35 of size 151
1538215841.30: Sent packet 36 of size 44
1538215841.65: Sent packet 37 of size 40
1538215841.76: Sent packet 38 of size 64
1538215841.88: Sent packet 39 of size 197
1538215842.01: Sent packet 40 of size 107
1538215842.11: Sent packet 41 of size 145
1538215842.26: Sent packet 42 of size 43
1538215842.45: Sent packet 43 of size 174
1538215842.75: Sent packet 44 of size 174
1538215842.86: Sent packet 45 of size 191
1538215842.90: Sent packet 46 of size 158
1538215842.98: Sent packet 47 of size 73
1538215843.05: Sent packet 48 of size 143
1538215843.08: Sent packet 49 of size 42
1538215843.08: Sent packet 50 of size 182
1538215843.08: Sent packet 51 of size 20
1538215843.25: Sent packet 52 of size 137
1538215843.34: Sent packet 53 of size 10
1538215843.40: Sent packet 54 of size 238
1538215843.54: Sent packet 55 of size 1
1538215843.55: Sent packet 56 of size 180
1538215843.67: Sent packet 57 of size 124
1538215843.67: Sent packet 58 of size 76
1538215843.67: Sent packet 59 of size 66
1538215844.14: Sent packet 60 of size 234
1538215844.15: Sent packet 61 of size 67
1538215844.67: Sent packet 62 of size 14
1538215844.67: Sent packet 63 of size 48
1538215844.75: Sent packet 64 of size 75
1538215844.79: Sent packet 65 of size 232
1538215844.85: Sent packet 66 of size 43
1538215844.96: Sent packet 67 of size 33
1538215844.99: Sent packet 68 of size 130
1538215845.04: Sent packet 69 of size 59
1538215845.23: Sent packet 70 of size 125
1538215845.33: Sent packet 71 of size 10
1538215845.33: Sent packet 72 of size 39
1538215845.33: Sent packet 73 of size 239
1538215845.33: Sent packet 74 of size 235
1538215845.34: Sent packet 75 of size 104
1538215845.61: Sent packet 76 of size 152
1538215845.70: Sent packet 77 of size 67
1538215845.79: Sent packet 78 of size 160
1538215845.89: Sent packet 79 of size 56
1538215845.91: Sent packet 80 of size 184
1538215846.06: Sent packet 81 of size 158
1538215846.15: Sent packet 82 of size 149
1538215846.36: Sent packet 83 of size 131
1538215846.55: Sent packet 84 of size 77
1538215846.56: Sent packet 85 of size 201
1538215846.59: Sent packet 86 of size 168
1538215846.59: Sent packet 87 of size 107
1538215846.64: Sent packet 88 of size 99
1538215846.65: Sent packet 89 of size 62
1538215846.99: Sent packet 90 of size 234
1538215847.10: Sent packet 91 of size 63
1538215847.47: Sent packet 92 of size 174
1538215847.57: Sent packet 93 of size 102
1538215847.61: Sent packet 94 of size 30
1538215847.70: Sent packet 95 of size 221
1538215848.07: Sent packet 96 of size 127
1538215848.09: Sent packet 97 of size 112
1538215848.20: Sent packet 98 of size 145
1538215848.20: Sent packet 99 of size 186
1538215848.20: Sent packet 100 of size 161
1538215848.20: Sent packet 101 of size 200
1538215848.20: Sent packet 102 of size 236
1538215848.20: Sent packet 103 of size 229
1538215848.21: Sent packet 104 of size 101
1538215848.29: Sent packet 105 of size 154
1538215848.41: Sent packet 106 of size 182
1538215848.43: Sent packet 107 of size 179
1538215848.47: Sent packet 108 of size 115
1538215848.55: Sent packet 109 of size 47
1538215848.76: Sent packet 110 of size 209
1538215849.21: Sent packet 111 of size 72
1538215849.26: Sent packet 112 of size 34
1538215849.37: Sent packet 113 of size 147
1538215849.72: Sent packet 114 of size 11
1538215849.77: Sent packet 115 of size 59
1538215849.85: Sent packet 116 of size 226
1538215849.98: Sent packet 117 of size 113
1538215850.03: Sent packet 118 of size 14
1538215850.06: Sent packet 119 of size 234
1538215850.13: Sent packet 120 of size 84
1538215850.16: Sent packet 121 of size 163
1538215850.51: Sent packet 122 of size 126
1538215850.79: Sent packet 123 of size 137
1538215850.97: Sent packet 124 of size 16
1538215850.98: Sent packet 125 of size 92
1538215851.24: Sent packet 126 of size 200
1538215851.67: Sent packet 127 of size 0
1538215851.71: Sent packet 128 of size 213
1538215851.74: Sent packet 129 of size 109
1538215851.77: Sent packet 130 of size 44
1538215851.86: Sent packet 131 of size 86
1538215851.92: Sent packet 132 of size 59
1538215852.01: Sent packet 133 of size 30
1538215852.26: Sent packet 134 of size 51
1538215852.27: Sent packet 135 of size 49
1538215852.36: Sent packet 136 of size 17
1538215852.41: Sent packet 137 of size 8
1538215852.58: Sent packet 138 of size 208
1538215852.59: Sent packet 139 of size 107
1538215852.62: Sent packet 140 of size 100
1538215852.68: Sent packet 141 of size 7
1538215852.81: Sent packet 142 of size 134
1538215852.83: Sent packet 143 of size 189
1538215852.83: Sent packet 144 of size 85
1538215852.83: Sent packet 145 of size 199
1538215852.84: Sent packet 146 of size 235
1538215852.84: Sent packet 147 of size 161
1538215852.92: Sent packet 148 of size 189
1538215852.92: Sent packet 149 of size 70
1538215852.92: Sent packet 150 of size 13
1538215852.93: Sent packet 151 of size 29
1538215853.02: Sent packet 152 of size 29
1538215853.02: Sent packet 153 of size 105
1538215853.02: Sent packet 154 of size 131
1538215853.02: Sent packet 155 of size 136
1538215853.02: Sent packet 156 of size 218
1538215853.02: Sent packet 157 of size 65
1538215853.02: Sent packet 158 of size 172
1538215853.02: Sent packet 159 of size 61
1538215853.02: Sent packet 160 of size 45
1538215853.02: Sent packet 161 of size 223
1538215853.02: Sent packet 162 of size 178
1538215853.02: Sent packet 163 of size 223
1538215853.02: Sent packet 164 of size 214
1538215853.02: Sent packet 165 of size 13
1538215853.02: Sent packet 166 of size 58
1538215853.02: Sent packet 167 of size 181
1538215853.02: Sent packet 168 of size 106
1538215853.02: Sent packet 169 of size 220
1538215853.02: Sent packet 170 of size 55
1538215853.02: Sent packet 171 of size 32
1538215853.02: Sent packet 172 of size 152
1538215853.02: Sent packet 173 of size 176
1538215853.02: Sent packet 174 of size 120
1538215853.02: Sent packet 175 of size 116
1538215853.02: Sent packet 176 of size 40
1538215853.03: Sent packet 177 of size 129
1538215853.03: Sent packet 178 of size 24
1538215853.03: Sent packet 179 of size 14
1538215853.03: Sent packet 180 of size 114
1538215853.03: Sent packet 181 of size 239
1538215853.03: Sent packet 182 of size 155
1538215853.03: Sent packet 183 of size 206
1538215853.03: Sent packet 184 of size 73
1538215853.03: Sent packet 185 of size 152
1538215853.03: Sent packet 186 of size 12
1538215853.03: Sent packet 187 of size 171
1538215853.33: Sent packet 188 of size 226
1538215853.49: Sent packet 189 of size 231
1538215854.00: Sent packet 190 of size 185
1538215854.08: Sent packet 191 of size 158
1538215854.25: Sent packet 192 of size 158
1538215854.38: Sent packet 193 of size 116
1538215854.56: Sent packet 194 of size 28
1538215854.69: Sent packet 195 of size 37
1538215854.78: Sent packet 196 of size 84
1538215854.88: Sent packet 197 of size 15
1538215854.97: Sent packet 198 of size 96
